ID,CAP
1,0.99999976
2,0.99994826
3,0.99999213
4,0.99999404
5,1.0
6,0.9999927
7,0.9999995
8,0.9999608
9,0.99999666
10,1.0
11,0.9999999
12,0.9999993
13,0.9999989
14,0.9999975
15,0.9999995
16,0.9999993
17,1.0
18,0.9999963
19,1.0
20,1.0
21,1.0
22,0.9999951
23,1.0
24,0.999992
25,0.9999994
26,1.0
27,0.99996376
28,0.999995
29,0.9999715
30,0.99999523
31,1.0
32,0.9994629
33,0.99998736
34,0.99999976
35,0.42412254
36,0.9999993
37,0.9999995
38,1.0
39,0.99999976
40,0.999992
41,0.99999225
42,0.99999774
43,0.99994195
44,1.0
45,0.9999999
46,0.9999939
47,1.0
48,0.9999945
49,0.9999838
50,0.999998
51,0.9999938
52,1.0
53,0.9999509
54,1.0
55,1.0
56,0.99996114
57,1.0
58,0.99999964
59,0.99999297
60,0.9999999
61,0.99974436
62,0.9999981
63,1.0
64,0.9999918
65,1.0
66,0.9999988
67,0.9999999
68,0.999998
69,0.9999254
70,0.99999535
71,0.99999833
72,0.99999547
73,0.9999989
74,0.99999976
75,0.9999981
76,0.9999968
77,0.9999013
78,0.99999976
79,0.99999964
80,0.99999964
81,0.9999974
82,0.99999917
83,0.9999994
84,0.999998
85,0.999796
86,0.99997056
87,0.9999924
88,0.99996805
89,1.0
90,1.0
91,0.9999777
92,0.9999982
93,0.999928
94,0.99965394
95,0.9999653
96,0.9993643
97,0.99999857
98,0.9998822
99,0.99999964
100,0.99999833
101,0.99997866
102,0.999995
103,0.99998665
104,0.99999094
105,0.9999149
106,0.9999937
107,0.99999833
108,1.0
109,0.9999987
110,0.9999944
111,0.9999976
112,0.99998116
113,0.9999925
114,0.9999833
115,0.99996793
116,0.9999821
117,0.99988115
118,0.99999154
119,0.99945635
120,0.999982
121,0.00033889106
122,0.9999995
123,0.9999945
124,0.9981775
125,0.9999943
126,0.9999974
127,0.7811289
128,0.99998915
129,0.99997413
130,0.020356132
131,0.99999714
132,0.99999285
133,0.999711
134,0.9999715
135,0.9999969
136,0.9999968
137,0.99998605
138,0.99998796
139,0.99999464
140,0.99994206
141,0.9999685
142,1.0
143,0.9999963
144,0.9998273
145,0.9999937
146,0.9999176
147,0.99979967
148,0.9982141
149,0.99999917
150,0.9999808
151,0.9998796
152,0.99996424
153,0.99921906
154,0.99999917
155,0.9991653
156,0.9999565
157,1.0
158,0.9992393
159,0.9987708
160,0.99916387
161,0.9990159
162,0.99964535
163,0.9998938
164,0.9999783
165,0.99999666
166,0.99920386
167,0.9999944
168,0.9999995
169,0.99999356
170,0.9994912
171,0.99874026
172,0.99999475
173,0.99999714
174,0.99990785
175,0.99766076
176,0.99999046
177,0.99998
178,2.7253778e-05
179,0.99998474
180,0.99997926
181,0.99997044
182,0.99998343
183,1.0
184,0.99999857
185,0.99906117
186,0.9997521
187,0.99999404
188,0.9999993
189,0.999772
190,0.999992
191,0.999706
192,0.9998809
193,0.9958467
194,0.99575955
195,0.99904734
196,0.99885297
197,0.9992544
198,0.9940154
200,0.9937828
202,0.999938
204,0.99361974
206,0.999946
208,0.99997735
212,0.9999807
213,0.99999034
215,0.9999895
216,0.99978715
217,0.13330717
218,0.99777573
219,0.99987245
220,0.9980925
221,0.12453554
222,0.9999722
224,0.9982327
227,0.9951232
228,0.9999765
231,0.93702024
232,0.99728596
234,0.99938977
235,0.9988764
236,0.9979559
238,0.9964199
239,0.9941239
240,0.9999949
242,0.99569345
243,0.99794406
244,0.99972695
245,0.9950912
247,0.99110705
251,0.99957484
256,0.71161664
257,0.88344306
258,0.9999778
259,0.99987686
262,0.9982495
263,0.98036516
264,0.98878634
266,0.99999404
267,0.9995739
270,0.67663985
271,0.99058807
272,0.9893826
278,0.9965031
279,0.99993753
280,0.9993299
281,0.9995395
287,0.9993839
289,0.9997061
290,0.9996369
296,0.98412585
302,0.99124056
307,0.99585104
316,0.99548197
319,0.999382
320,0.99994326
325,0.99092346
333,0.99995387
345,0.993693
352,0.99979275
356,0.9787458
363,0.9993955
380,0.9961234
381,0.99971217
388,0.9991509
392,0.9992238
398,0.9998332
413,0.9992925
422,0.9992561
431,0.99922657
455,0.9958703
467,0.9996717
483,0.19907422
485,0.9955935
488,0.98945016
498,0.9994848
503,0.9866094
510,0.9998062
524,0.9954791
543,0.9998047
549,0.99924636
554,0.6776591
559,0.9955076
565,0.9943605
567,0.9730109
576,0.9992662
579,0.997959
588,0.998803
598,0.78990173
599,0.99824023
601,0.998028
603,0.9909168
628,0.9999982
631,0.99649316
632,0.9447667
633,0.959604
634,0.9997774
635,0.9357228
636,0.9999883
637,0.9911758
638,0.9987099
639,0.98824084
640,0.996182
641,0.78662676
642,0.9977634
643,0.9680876
644,0.9934098
645,0.99529725
646,0.999974
647,0.9995016
648,0.94743216
649,0.9999778
650,0.9812089
651,0.9906222
652,0.9713121
653,0.9947824
654,0.99992144
655,0.89566994
656,0.99915624
657,0.99995875
658,0.9809903
659,0.97320163
660,0.99995494
661,0.999471
662,0.992644
663,0.99312055
664,0.9999994
665,0.99869436
666,0.9779488
667,0.9980921
668,0.9999684
669,0.99036205
670,0.9993297
671,0.9877451
672,0.9970168
673,0.6908813
674,0.9998989
675,0.9522733
676,0.8699199
677,0.9965927
678,0.98008746
679,0.9935482
680,0.9930675
681,0.9965418
682,0.9953046
683,0.9940304
684,0.98901576
685,0.99191487
686,0.75636137
687,0.9912042
688,0.9911005
689,0.98891246
692,0.9290359
693,0.9892909
694,0.9861806
695,0.9918779
696,0.95824546
697,0.99230593
698,0.6332596
699,0.9961218
700,0.982369
701,0.9893271
702,0.84521395
703,0.9942483
704,0.98363125
705,0.9879946
706,0.98784167
707,0.7826155
708,0.9770626
709,0.97166914
710,0.9929194
711,0.9832228
712,0.8613693
713,0.9867154
714,0.9809341
715,0.9863751
716,0.9862017
717,0.92973936
718,0.9858484
719,0.9995127
720,0.7978233
721,0.96255386
722,0.96314704
723,0.7003373
724,0.97380304
725,0.94183165
726,0.950643
727,0.98391896
728,0.9141566
729,0.9752401
730,0.9748871
731,0.9848348
732,0.9915876
733,0.9841308
734,0.8361514
735,0.98214436
736,0.9819064
737,0.9834267
738,0.99409395
739,0.9960074
740,0.98099387
741,0.9745087
742,0.98920083
743,0.98028004
744,0.9985343
745,0.9870517
746,0.98005384
747,0.9809442
748,0.9868759
749,0.9652874
750,0.9734995
751,0.9900379
752,0.9744441
753,0.99600047
754,0.8958297
755,2.5762774e-09
756,0.9945639
757,0.9480726
758,0.9968431
759,0.98780847
760,0.99488986
761,0.9932201
762,0.9926456
763,0.9817607
764,0.9217277
765,0.9976572
766,0.99375474
767,0.9818118
768,0.9976478
769,0.9765395
770,0.9918349
771,0.9762967
772,0.98601776
773,0.9941643
774,0.9958626
775,0.9867486
776,0.8645337
777,0.864779
778,0.7026099
779,0.9944536
780,0.98691654
781,0.996378
782,0.9322999
783,0.97535276
784,0.9753184
785,0.9848958
786,0.9957585
787,0.9857145
788,0.9751961
789,0.9751692
790,0.96341413
791,0.9856858
792,0.975088
805,0.9952023
809,0.90674794
816,0.6846747
826,0.97328883
841,0.9995432
847,0.99868435
893,0.99411494
951,0.86296433
952,0.9979663
953,0.9929542
954,0.9934111
955,0.9973756
956,0.9805634
957,0.96477556
958,0.9331644
959,0.99419147
960,0.9845501
961,0.9819441
962,0.9920082
963,0.9836308
964,0.98619056
965,0.9612532
966,0.9774475
967,0.8980461
968,0.9620129
969,0.9895523
970,0.8987161
971,0.9867994
972,0.9808837
973,0.98686856
974,0.9939942
975,0.9982528
976,0.97493976
977,0.97188157
978,0.9612245
979,0.87719995
980,0.9948317
981,0.96123946
982,0.9834833
983,0.9942702
984,0.96152705
985,0.99161375
986,0.9918143
987,0.96198595
988,0.991325
989,0.99574727
990,0.98820156
991,0.99291986
992,0.9838553
