ID,RIF
1,0.26473057
2,0.012381586
3,0.012620564
4,0.011338802
5,0.013780484
6,0.012620564
7,0.01504441
8,0.1474607
9,0.04380732
10,0.053163476
11,0.24374874
12,0.011338802
13,0.011338802
14,0.08575785
15,0.060201388
16,0.01504441
17,0.12549895
18,0.012381586
19,0.1468405
20,0.9393101
21,0.24374874
22,0.011338802
23,0.05782774
24,0.07821354
25,0.01504441
26,0.017815217
27,0.013780484
28,0.01504441
29,0.042564496
30,0.01504441
31,0.055356905
32,0.60943925
33,0.012381586
34,0.058924243
35,0.010382238
36,0.055902336
37,0.01504441
38,0.058924243
39,0.013780484
40,0.06434256
41,0.013779589
42,0.011338802
43,0.012620564
44,0.96285385
45,0.013780484
46,0.7904474
47,0.1468405
48,0.011338802
49,0.011338802
50,0.045665395
51,0.95803905
52,0.041005034
53,0.03165624
54,0.038937982
55,0.27652243
56,0.011338802
57,0.055356905
58,0.055356905
59,0.011338802
60,0.043949906
61,0.044803895
62,0.01504441
63,0.055356905
64,0.2442545
65,0.10696198
66,0.01504441
67,0.013780484
68,0.055902336
69,0.011338802
70,0.011338802
71,0.038578756
72,0.060201388
73,0.055356905
74,0.038937982
75,0.7571381
76,0.010382238
77,0.03165624
78,0.011338802
79,0.011338802
80,0.2277128
81,0.8959946
82,0.1821819
83,0.041005034
84,0.2277128
85,0.6830132
86,0.06434256
87,0.011338802
88,0.011338802
89,0.24269935
90,0.01504441
91,0.055902336
92,0.012381586
93,0.011338802
94,0.6830132
95,0.011338059
96,0.011338059
103,0.013780484
123,0.011338802
126,0.012381586
131,0.012381586
132,0.04923113
144,0.22543967
145,0.01504441
146,0.040538624
147,0.95726174
148,0.01504441
149,0.07081328
150,0.012381586
151,0.86259526
152,0.9905343
153,0.9393101
154,0.07081328
155,0.9393101
156,0.013780484
157,0.01504441
158,0.040487837
159,0.040538624
160,0.01504441
161,0.41716707
162,0.012381586
163,0.012381586
164,0.07356566
165,0.011338059
166,0.012620564
167,0.011338059
168,0.012381586
169,0.39093173
170,0.012381586
171,0.040538624
172,0.07081328
173,0.013779589
175,0.012381586
181,0.04923113
183,0.012381586
184,0.07081328
185,0.012381586
186,0.040538624
187,0.041914713
188,0.110534616
189,0.9895371
190,0.011338059
191,0.040538624
192,0.01504441
193,0.12453713
194,0.12453713
195,0.9895371
196,0.012381586
197,0.013779589
198,0.38261732
199,0.98657113
200,0.012381586
201,0.9393101
202,0.011338802
203,0.9901946
204,0.38261732
205,0.96285385
206,0.98561066
207,0.9923374
208,0.060201388
209,0.98561066
210,0.9901946
211,0.98561066
212,0.01504441
213,0.07682129
214,0.9901946
215,0.060944133
216,0.9901946
217,0.05369705
218,0.23551722
219,0.24503702
220,0.9905343
221,0.012381586
222,0.013779589
223,0.39136595
224,0.95726174
225,0.9923374
226,0.9905343
227,0.59943277
228,0.745163
229,0.9905343
